character,codepoint,unicode_name,unicode_category,count,is_sinhala_block,is_whitespace,font_has_codepoint
ē,U+0113,LATIN SMALL LETTER E WITH MACRON,Ll,1,False,False,False
🙈,U+1F648,SEE-NO-EVIL MONKEY,So,1,False,False,False
³,U+00B3,SUPERSCRIPT THREE,No,1,False,False,False
⇦,U+21E6,LEFTWARDS WHITE ARROW,So,1,False,False,False
⇨,U+21E8,RIGHTWARDS WHITE ARROW,So,1,False,False,False
😫,U+1F62B,TIRED FACE,So,1,False,False,False
🤣,U+1F923,ROLLING ON THE FLOOR LAUGHING,So,1,False,False,False
🇱,U+1F1F1,REGIONAL INDICATOR SYMBOL LETTER L,So,1,False,False,False
🇰,U+1F1F0,REGIONAL INDICATOR SYMBOL LETTER K,So,1,False,False,False
ψ,U+03C8,GREEK SMALL LETTER PSI,Ll,1,False,False,False
խ,U+056D,ARMENIAN SMALL LETTER XEH,Ll,1,False,False,False
չ,U+0579,ARMENIAN SMALL LETTER CHA,Ll,1,False,False,False
Մ,U+0544,ARMENIAN CAPITAL LETTER MEN,Lu,1,False,False,False
ք,U+0584,ARMENIAN SMALL LETTER KEH,Ll,1,False,False,False
շ,U+0577,ARMENIAN SMALL LETTER SHA,Ll,1,False,False,False
ռ,U+057C,ARMENIAN SMALL LETTER RA,Ll,1,False,False,False
Ս,U+054D,ARMENIAN CAPITAL LETTER SEH,Lu,1,False,False,False
ղ,U+0572,ARMENIAN SMALL LETTER GHAD,Ll,1,False,False,False
Ա,U+0531,ARMENIAN CAPITAL LETTER AYB,Lu,1,False,False,False
🙄,U+1F644,FACE WITH ROLLING EYES,So,1,False,False,False
क,U+0915,DEVANAGARI LETTER KA,Lo,1,False,False,False
ल,U+0932,DEVANAGARI LETTER LA,Lo,1,False,False,False
व,U+0935,DEVANAGARI LETTER VA,Lo,1,False,False,False
♉,U+2649,TAURUS,So,1,False,False,False
ر,U+0631,ARABIC LETTER REH,Lo,1,False,False,False
ب,U+0628,ARABIC LETTER BEH,Lo,1,False,False,False
س,U+0633,ARABIC LETTER SEEN,Lo,1,False,False,False
و,U+0648,ARABIC LETTER WAW,Lo,1,False,False,False
د,U+062F,ARABIC LETTER DAL,Lo,1,False,False,False
à,U+00E0,LATIN SMALL LETTER A WITH GRAVE,Ll,1,False,False,False
🧿,U+1F9FF,NAZAR AMULET,So,1,False,False,False
▲,U+25B2,BLACK UP-POINTING TRIANGLE,So,1,False,False,False
😹,U+1F639,CAT FACE WITH TEARS OF JOY,So,1,False,False,False
ⓘ,U+24D8,CIRCLED LATIN SMALL LETTER I,So,1,False,False,False
☎,U+260E,BLACK TELEPHONE,So,1,False,False,False
๬,U+0E6C,UNNAMED,Cn,1,False,False,False
,U+E012,UNNAMED,Co,1,False,False,False
,U+E04B,UNNAMED,Co,1,False,False,False
,U+E058,UNNAMED,Co,1,False,False,False
,U+E014,UNNAMED,Co,1,False,False,False
,U+E003,UNNAMED,Co,1,False,False,False
,U+E070,UNNAMED,Co,1,False,False,False
,U+E099,UNNAMED,Co,1,False,False,False
🤗,U+1F917,HUGGING FACE,So,1,False,False,False
Ý,U+00DD,LATIN CAPITAL LETTER Y WITH ACUTE,Lu,1,False,False,False
④,U+2463,CIRCLED DIGIT FOUR,No,1,False,False,False
›,U+203A,SINGLE RIGHT-POINTING ANGLE QUOTATION MARK,Pf,1,False,False,False
√,U+221A,SQUARE ROOT,Sm,1,False,False,False
ê,U+00EA,LATIN SMALL LETTER E WITH CIRCUMFLEX,Ll,1,False,False,False
₂,U+2082,SUBSCRIPT TWO,No,1,False,False,False
♣,U+2663,BLACK CLUB SUIT,So,1,False,False,False
ಎ,U+0C8E,KANNADA LETTER E,Lo,1,False,False,False
ಂ,U+0C82,KANNADA SIGN ANUSVARA,Mc,1,False,False,False
ಬ,U+0CAC,KANNADA LETTER BA,Lo,1,False,False,False
🎋,U+1F38B,TANABATA TREE,So,1,False,False,False
◽,U+25FD,WHITE MEDIUM SMALL SQUARE,Sm,1,False,False,False
◼,U+25FC,BLACK MEDIUM SQUARE,Sm,1,False,False,False
▫,U+25AB,WHITE SMALL SQUARE,So,1,False,False,False
🏔,U+1F3D4,SNOW CAPPED MOUNTAIN,So,1,False,False,False
☸,U+2638,WHEEL OF DHARMA,So,1,False,False,False
😋,U+1F60B,FACE SAVOURING DELICIOUS FOOD,So,1,False,False,False
🌳,U+1F333,DECIDUOUS TREE,So,1,False,False,False
℃,U+2103,DEGREE CELSIUS,So,1,False,False,False
📹,U+1F4F9,VIDEO CAMERA,So,1,False,False,False
